expiry,strike,last_price,bid,ask,impl_vol,delta,gamma,open_interest,volume,option_type
2026-04-13,500.0,179.74,178.97,181.74,3.0303,,,1.0,1.0,call
2026-04-13,530.0,128.18,149.13,151.92,2.6055,,,7.0,,call
2026-04-13,540.0,140.19,139.1,141.9,2.4287,,,1.0,1.0,call
2026-04-13,550.0,125.76,129.13,131.92,2.2744,,,3.0,1.0,call
2026-04-13,560.0,94.5,119.12,121.86,2.0991,,,2.0,2.0,call
2026-04-13,585.0,69.93,94.12,96.71,1.6753,,,4.0,4.0,call
2026-04-13,590.0,65.33,88.98,91.73,1.5776,,,2.0,2.0,call
2026-04-13,595.0,84.79,83.62,86.3,1.3564,,,12.0,12.0,call
2026-04-13,600.0,72.69,79.98,80.48,1.3828,,,22.0,2.0,call
2026-04-13,601.0,74.4,79.07,79.16,1.3286,,,1.0,1.0,call
2026-04-13,604.0,53.58,76.36,76.94,1.4404,,,6.0,,call
2026-04-13,605.0,75.57,74.69,75.48,1.2588,,,3.0,4.0,call
2026-04-13,608.0,71.7,72.47,72.55,1.3403,,,1.0,2.0,call
2026-04-13,609.0,68.21,71.46,71.55,1.3232,,,1.0,12.0,call
2026-04-13,610.0,67.61,70.46,70.55,1.3071,,,1.0,1.0,call
2026-04-13,611.0,66.71,69.17,69.26,1.2109,,,1.0,1.0,call
2026-04-13,612.0,67.15,68.46,68.55,1.2754,,,1.0,60.0,call
2026-04-13,613.0,66.7,66.84,66.94,1.0703,,,1.0,10.0,call
2026-04-13,615.0,63.71,65.47,65.56,1.2305,,,4.0,29.0,call
2026-04-13,620.0,57.39,60.46,60.54,1.147,,,20.0,4.0,call
2026-04-13,621.0,56.65,59.47,59.55,1.1333,,,17.0,3.0,call
2026-04-13,622.0,57.16,58.47,58.55,1.1177,,,2.0,,call
2026-04-13,623.0,54.74,57.46,57.55,1.1003,,,0.0,1.0,call
2026-04-13,624.0,55.95,56.47,56.56,1.0864,,,239.0,101.0,call
2026-04-13,625.0,53.81,55.45,55.54,1.0659,,,52.0,1.0,call
2026-04-13,627.0,53.83,52.85,52.94,0.873,,,5.0,1.0,call
2026-04-13,628.0,51.96,52.47,52.55,1.0215,,,181.0,1.0,call
2026-04-13,629.0,48.74,50.95,51.05,0.8779,,,7.0,1.0,call
