scenario,strategy,mean_pnl,std_pnl,sharpe,var_95,cvar_95,max_loss,pct_loss,avg_tc,avg_trades
base,delta,-0.18369925094406858,1.0031608253756426,-0.1831204392130053,-1.9175979372953336,-2.4492305509738337,-4.276265362251706,0.5533333333333333,0.22628464410015933,29.75111111111111
base,whalley_wilmott,-0.18253398659138712,1.9629194054490176,-0.09299107547904265,-3.5963774934932338,-4.085995938938779,-4.856063142993179,0.48444444444444446,0.07013413420263027,8.944444444444445
base,ppo,-0.1751244666192315,1.1988779471099211,-0.14607364080838742,-2.3229954084979014,-2.9495616731304066,-4.423655667678631,0.5288888888888889,0.22329672213989896,30.0
base,ppo_cvar,0.11310695740128103,2.021487391829134,0.05595234373385663,-3.627282691153373,-5.298425999683894,-7.950309978595037,0.4088888888888889,0.19410543948528797,30.0
high_tc,delta,-2.220261047845504,1.1077972414049948,-2.0042124721574464,-4.224856081856184,-4.918171276967226,-8.178474242572548,0.9911111111111112,2.262846441001593,29.75111111111111
high_tc,whalley_wilmott,-0.7470738655598671,3.7496395712974526,-0.19923884718908172,-7.374925277759153,-8.019454756964874,-9.441953421852674,0.46444444444444444,0.4571309322383616,3.931111111111111
high_tc,ppo,-2.184794965878324,1.4653716334801201,-1.4909494055713641,-4.78552412325112,-5.5051966042551115,-8.360508244128638,0.94,2.2329672213989897,30.0
high_tc,ppo_cvar,-1.6338419979663124,1.9381469971567145,-0.8429917856401907,-5.06532526546113,-6.6178550208182365,-9.056077250963355,0.8111111111111111,1.9410543948528796,30.0
vol_mismatch,delta,-1.6381089653193541,1.6415024132628613,-0.9979327182731569,-4.4970057935508105,-5.6853038680967805,-9.82891617025983,0.8444444444444444,0.26098630694189645,29.17111111111111
vol_mismatch,whalley_wilmott,-1.589601678527842,2.4666441382241464,-0.6444389986762628,-5.4777385862826815,-6.676926727449743,-10.45759723514017,0.6777777777777778,0.08579073053978574,10.18
vol_mismatch,ppo,-1.6354793349545096,2.1442055831074276,-0.7627437162925109,-5.572319890580965,-6.592621283034482,-10.172936166601133,0.7955555555555556,0.26051327406204855,30.0
vol_mismatch,ppo_cvar,-1.2412631799530356,3.170123989993835,-0.3915503569800276,-6.670074415401313,-9.132634500850406,-12.407527454847248,0.6155555555555555,0.21804785917187375,30.0
regime_switch,delta,-1.038472348345431,1.7237009655216788,-0.6024666511868761,-4.271975635857983,-5.330890726986948,-8.040860778205172,0.7133333333333334,0.2358348031371447,29.377777777777776
regime_switch,whalley_wilmott,-0.9794306256609763,2.462447377780648,-0.39774682476411594,-4.896713781649415,-6.343881871965153,-11.860186605506598,0.5822222222222222,0.07649557836401188,9.78888888888889
regime_switch,ppo,-0.985551143344238,2.188389144598757,-0.4503546116451513,-5.23976355523448,-6.631753659184104,-9.787257102072719,0.6288888888888889,0.2337757012341535,30.0
regime_switch,ppo_cvar,-0.7980933096533588,3.0670923995951944,-0.26021169422828405,-6.892764720666034,-8.622224251642853,-11.965785613277035,0.5355555555555556,0.20105167810520533,30.0
